time,first encoder,second encoder,third encoder,fourth encoder,fifth encoder,upper torque sensor,lower torque sensor
118.102001,872603.766000,872600.670000,290866.770000,290866.662000,72716.580000,1.830907,7.565002
118.103001,872623.134000,872620.056000,290873.232000,290873.106000,72718.182000,1.674168,8.104248
118.104001,872642.502000,872639.406000,290879.694000,290879.568000,72719.802000,2.044408,8.474731
118.105001,872661.870000,872658.774000,290886.138000,290886.012000,72721.404000,2.145604,8.832092
118.106001,872681.220000,872678.124000,290892.600000,290892.456000,72723.024000,1.910496,9.129028
118.107001,872700.570000,872697.474000,290899.044000,290898.918000,72724.626000,1.914281,9.355774
118.108001,872719.938000,872716.842000,290905.470000,290905.344000,72726.246000,1.482030,9.451294
118.109001,872739.288000,872736.156000,290911.914000,290911.788000,72727.866000,1.805516,9.575806
118.110001,872758.638000,872755.470000,290918.340000,290918.214000,72729.486000,2.112645,9.352417
118.111001,872777.988000,872774.820000,290924.784000,290924.658000,72731.106000,1.694310,8.749084
118.112001,872797.320000,872794.116000,290931.210000,290931.102000,72732.726000,1.944554,8.174744
118.113001,872816.688000,872813.466000,290937.672000,290937.564000,72734.328000,1.942113,8.094788
118.114001,872836.038000,872832.816000,290944.116000,290944.026000,72735.966000,1.863744,7.740479
118.115001,872855.388000,872852.202000,290950.578000,290950.470000,72737.586000,1.954686,6.728821
118.116001,872874.738000,872871.606000,290957.040000,290956.968000,72739.206000,1.588231,6.508484
118.117001,872894.106000,872891.010000,290963.538000,290963.448000,72740.844000,2.089940,6.447754
118.118001,872913.474000,872910.486000,290970.036000,290969.928000,72742.464000,1.732274,5.413513
118.119001,872932.842000,872929.944000,290976.534000,290976.444000,72744.102000,1.744969,6.071167
118.120001,872952.210000,872949.420000,290983.050000,290982.960000,72745.722000,2.038060,6.390381
118.121001,872971.596000,872968.950000,290989.548000,290989.458000,72747.342000,1.401097,6.674500
118.122001,872990.982000,872988.426000,290996.046000,290995.956000,72748.962000,1.757542,7.137146
118.123001,873010.350000,873007.902000,291002.562000,291002.454000,72750.582000,1.753758,7.421265
118.124001,873029.736000,873027.342000,291009.042000,291008.934000,72752.202000,1.456761,8.104248
118.125001,873049.122000,873046.764000,291015.504000,291015.396000,72753.822000,1.471898,8.075562
118.126001,873068.490000,873066.168000,291021.966000,291021.858000,72755.442000,1.538914,7.967224
118.127001,873087.858000,873085.482000,291028.410000,291028.302000,72757.044000,1.779027,8.142700
118.128001,873107.226000,873104.796000,291034.818000,291034.728000,72758.664000,1.516209,7.944946
118.129001,873126.594000,873124.074000,291041.226000,291041.136000,72760.266000,1.441624,7.229919
118.130001,873145.944000,873143.316000,291047.652000,291047.562000,72761.886000,1.814427,6.243591
118.131001,873165.294000,873162.540000,291054.042000,291053.988000,72763.506000,1.803075,6.096802
118.132001,873184.662000,873181.782000,291060.450000,291060.396000,72765.108000,1.731053,5.359192
118.133001,873204.030000,873201.042000,291066.876000,291066.804000,72766.728000,2.012791,4.408264
118.134001,873223.380000,873220.356000,291073.302000,291073.248000,72768.330000,1.372044,4.168701
118.135001,873242.748000,873239.652000,291079.728000,291079.692000,72769.932000,2.088719,4.864502
118.136001,873262.116000,873259.038000,291086.190000,291086.136000,72771.534000,1.694310,4.507141
118.137001,873281.502000,873278.406000,291092.670000,291092.616000,72773.154000,1.978734,5.062561
118.138001,873300.870000,873297.828000,291099.150000,291099.078000,72774.756000,1.583104,6.434937
118.139001,873320.256000,873317.250000,291105.630000,291105.540000,72776.358000,2.025487,6.594543
118.140001,873339.624000,873336.708000,291112.128000,291112.020000,72777.960000,1.904149,7.149963
118.141001,873359.010000,873356.130000,291118.608000,291118.500000,72779.580000,1.919286,7.491455
118.142001,873378.396000,873375.552000,291125.088000,291124.998000,72781.182000,1.689305,8.034058
118.143001,873397.764000,873394.974000,291131.550000,291131.442000,72782.784000,1.902928,8.618164
118.144001,873417.132000,873414.378000,291138.012000,291137.904000,72784.404000,1.398656,8.921509
118.145001,873436.518000,873433.710000,291144.456000,291144.348000,72786.006000,1.880101,9.138489
118.146001,873455.868000,873453.060000,291150.882000,291150.792000,72787.626000,1.506078,9.397278
118.147001,873475.236000,873472.356000,291157.308000,291157.200000,72789.228000,1.832127,9.109802
118.148001,873494.586000,873491.652000,291163.734000,291163.626000,72790.830000,2.044408,8.736267
118.149001,873513.936000,873510.930000,291170.142000,291170.070000,72792.450000,1.599583,8.398132
118.150001,873533.286000,873530.190000,291176.586000,291176.496000,72794.052000,1.738621,7.549133
118.151001,873552.636000,873549.504000,291183.012000,291182.940000,72795.672000,1.834691,7.357483
118.152001,873571.986000,873568.800000,291189.438000,291189.366000,72797.274000,1.827000,6.814880
118.153001,873591.336000,873588.114000,291195.882000,291195.810000,72798.894000,2.131688,6.668091
118.154001,873610.686000,873607.482000,291202.344000,291202.254000,72800.496000,1.962254,7.325439
118.155001,873630.054000,873626.850000,291208.806000,291208.698000,72802.098000,1.991307,7.079773
118.156001,873649.404000,873646.236000,291215.268000,291215.178000,72803.718000,1.857396,8.133240
118.157001,873668.772000,873665.640000,291221.748000,291221.640000,72805.338000,1.689305,8.174744
118.158001,873688.140000,873685.062000,291228.228000,291228.120000,72806.940000,1.799290,8.129883
118.159001,873707.490000,873704.484000,291234.708000,291234.582000,72808.560000,1.848485,8.222351
118.160001,873726.858000,873723.870000,291241.188000,291241.062000,72810.180000,2.198582,8.481140
118.161001,873746.226000,873743.310000,291247.668000,291247.542000,72811.800000,1.528783,8.691711
118.162001,873765.594000,873762.696000,291254.112000,291253.986000,72813.420000,1.913060,8.908691
